Zip Code,Area Code,City,County,State,Country,LivabilityScore,Housing,Neighborhood,Transportation,Environment,Health,Engagement,Opportunity
36310,334,ABBEVILLE,HENRY,"Alabama, AL",US,46,61,42,31,60,21,58,47
35440,205,ABERNANT,TUSCALOOSA,"Alabama, AL",US,48,55,37,35,71,32,60,43
35005,205,ADAMSVILLE,JEFFERSON,"Alabama, AL",US,46,50,38,27,48,51,61,51
35540,256,ADDISON,WINSTON,"Alabama, AL",US,46,62,28,40,60,27,56,46
35006,205,ADGER,JEFFERSON,"Alabama, AL",US,49,52,43,41,52,48,61,44
35441,205,AKRON,HALE,"Alabama, AL",US,38,68,25,36,60,17,45,14
35007,205,ALABASTER,SHELBY,"Alabama, AL",US,50,26,45,42,65,49,55,65
36720,334,ALBERTA,WILCOX,"Alabama, AL",US,36,56,28,34,42,16,53,22
35950,256,ALBERTVILLE,MARSHALL,"Alabama, AL",US,47,59,45,46,52,26,52,50
35951,256,ALBERTVILLE,MARSHALL,"Alabama, AL",US,,,,,,,,
35010,256,ALEXANDER CITY,TALLAPOOSA,"Alabama, AL",US,47,62,40,47,43,35,61,42
35011,256,ALEXANDER CITY,TALLAPOOSA,"Alabama, AL",US,,,,,,,,
36250,256,ALEXANDRIA,CALHOUN,"Alabama, AL",US,44,52,32,28,60,34,59,45
35442,205,ALICEVILLE,PICKENS,"Alabama, AL",US,38,69,32,41,29,15,51,26
35013,205,ALLGOOD,BLOUNT,"Alabama, AL",US,44,41,40,26,60,21,42,64
36501,334,ALMA,CLARKE,"Alabama, AL",US,43,65,30,40,40,21,74,34
35014,256,ALPINE,TALLADEGA,"Alabama, AL",US,47,66,26,26,80,20,59,52
35015,205,ALTON,JEFFERSON,"Alabama, AL",US,49,52,43,41,52,48,61,44
35952,205,ALTOONA,ETOWAH,"Alabama, AL",US,47,69,25,26,63,28,59,60
36420,334,ANDALUSIA,COVINGTON,"Alabama, AL",US,49,62,39,46,61,29,64,42
36421,334,ANDALUSIA,COVINGTON,"Alabama, AL",US,,,,,,,,
35610,256,ANDERSON,LAUDERDALE,"Alabama, AL",US,47,60,26,34,60,32,60,57
36721,334,ANNEMANIE,WILCOX,"Alabama, AL",US,36,56,28,34,42,16,53,22
36201,256,ANNISTON,CALHOUN,"Alabama, AL",US,46,62,40,42,53,34,61,34
36202,256,ANNISTON,CALHOUN,"Alabama, AL",US,,,,,,,,
36204,256,ANNISTON,CALHOUN,"Alabama, AL",US,,,,,,,,
36205,256,ANNISTON,CALHOUN,"Alabama, AL",US,,,,,,,,
36206,256,ANNISTON,CALHOUN,"Alabama, AL",US,,,,,,,,
36207,256,ANNISTON,CALHOUN,"Alabama, AL",US,,,,,,,,
36210,256,ANNISTON,CALHOUN,"Alabama, AL",US,,,,,,,,
35016,256,ARAB,MARSHALL,"Alabama, AL",US,48,60,38,43,61,24,51,57
35739,256,ARDMORE,LIMESTONE,"Alabama, AL",US,53,59,46,47,61,39,54,62
36311,334,ARITON,DALE,"Alabama, AL",US,47,67,40,28,58,28,58,47
35541,205,ARLEY,WINSTON,"Alabama, AL",US,44,57,26,37,60,26,56,42
36722,334,ARLINGTON,WILCOX,"Alabama, AL",US,33,51,25,30,42,11,53,22
36312,334,ASHFORD,HOUSTON,"Alabama, AL",US,48,58,32,33,76,24,66,48
36251,256,ASHLAND,CLAY,"Alabama, AL",US,46,72,34,46,56,19,50,43
35953,205,ASHVILLE,SAINT CLAIR,"Alabama, AL",US,42,43,33,18,45,40,47,67
35611,256,ATHENS,LIMESTONE,"Alabama, AL",US,51,57,46,45,55,36,58,59
35612,256,ATHENS,LIMESTONE,"Alabama, AL",US,,,,,,,,
35613,256,ATHENS,LIMESTONE,"Alabama, AL",US,,,,,,,,
35614,256,ATHENS,LIMESTONE,"Alabama, AL",US,,,,,,,,
36502,251,ATMORE,ESCAMBIA,"Alabama, AL",US,44,58,43,46,52,15,48,46
36503,251,ATMORE,ESCAMBIA,"Alabama, AL",US,,,,,,,,
36504,251,ATMORE,ESCAMBIA,"Alabama, AL",US,,,,,,,,
35954,256,ATTALLA,ETOWAH,"Alabama, AL",US,48,69,41,33,59,30,61,45
36830,334,AUBURN,LEE,"Alabama, AL",US,46,58,45,60,30,46,50,36
36831,334,AUBURN,LEE,"Alabama, AL",US,,,,,,,,
36832,334,AUBURN,LEE,"Alabama, AL",US,,,,,,,,
36830,334,AUBURN,LEE,"Alabama, AL",US,,,,,,,,
36831,334,AUBURN,LEE,"Alabama, AL",US,,,,,,,,
36832,334,AUBURN,LEE,"Alabama, AL",US,,,,,,,,
36849,334,AUBURN UNIVERSITY,LEE,"Alabama, AL",US,44,51,47,60,36,46,50,22
36849,334,AUBURN UNIVERSITY,LEE,"Alabama, AL",US,,,,,,,,
36003,334,AUTAUGAVILLE,AUTAUGA,"Alabama, AL",USA,46,64,25,29,60,36,63,42
36505,334,AXIS,MOBILE,"Alabama, AL",US,50,63,38,55,50,32,65,44
35019,256,BAILEYTON,CULLMAN,"Alabama, AL",US,43,54,26,35,60,27,55,45
36005,334,BANKS,PIKE,"Alabama, AL",US,44,64,19,31,60,36,59,37
35542,205,BANKSTON,FAYETTE,"Alabama, AL",US,44,66,32,44,60,21,48,40
36507,251,BAY MINETTE,BALDWIN,"Alabama, AL",US,53,63,46,55,56,49,63,37
36509,251,BAYOU LA BATRE,MOBILE,"Alabama, AL",US,50,76,33,53,55,32,60,39
35543,205,BEAR CREEK,MARION,"Alabama, AL",US,42,68,29,35,58,14,57,35
36425,251,BEATRICE,MONROE,"Alabama, AL",US,38,59,17,36,26,26,53,46
35544,205,BEAVERTON,LAMAR,"Alabama, AL",US,50,66,32,64,60,18,71,36
35545,205,BELK,FAYETTE,"Alabama, AL",US,45,79,29,45,56,22,48,34
35615,256,BELLE MINA,LIMESTONE,"Alabama, AL",US,48,52,38,38,59,36,57,57
36313,334,BELLWOOD,GENEVA,"Alabama, AL",US,53,64,49,60,40,32,70,56
35546,205,BERRY,FAYETTE,"Alabama, AL",US,46,75,35,38,60,20,48,46
35020,205,BESSEMER,JEFFERSON,"Alabama, AL",US,45,55,41,40,50,41,61,30
35021,205,BESSEMER,JEFFERSON,"Alabama, AL",US,,,,,,,,
35022,205,BESSEMER,JEFFERSON,"Alabama, AL",US,,,,,,,,
35023,205,BESSEMER,JEFFERSON,"Alabama, AL",US,,,,,,,,
36006,205,BILLINGSLEY,AUTAUGA,"Alabama, AL",US,46,59,25,31,60,34,63,46
35201,205,BIRMINGHAM,JEFFERSON,"Alabama, AL",US,50,58,50,47,52,47,61,36
36314,334,BLACK,GENEVA,"Alabama, AL",US,41,59,27,32,60,21,43,46
35031,205,BLOUNTSVILLE,BLOUNT,"Alabama, AL",US,45,52,35,34,59,33,42,61
35956,256,BOAZ,ETOWAH,"Alabama, AL",US,49,64,46,48,54,26,51,55
35957,256,BOAZ,MARSHALL,"Alabama, AL",US,,,,,,,,
35443,205,BOLIGEE,GREENE,"Alabama, AL",US,32,85,19,12,28,6,57,16
35032,256,BON AIR,TALLADEGA,"Alabama, AL",US,52,77,36,37,78,31,59,48
36511,251,BON SECOUR,BALDWIN,"Alabama, AL",US,49,54,36,44,60,48,64,40
36008,334,BOOTH,AUTAUGA,"Alabama, AL",US,46,58,37,34,57,34,64,41
36723,334,BOYKIN,WILCOX,"Alabama, AL",US,40,64,19,34,51,25,48,37
36723,334,BOYKIN,WILCOX,"Alabama, AL",US,,,,,,,,
36009,334,BRANTLEY,CRENSHAW,"Alabama, AL",US,42,66,27,36,60,17,49,39
35033,256,BREMEN,CULLMAN,"Alabama, AL",US,44,52,34,39,56,27,55,46
35034,205,BRENT,BIBB,"Alabama, AL",US,41,46,38,41,61,16,34,48
36426,251,BREWTON,ESCAMBIA,"Alabama, AL",US,44,57,39,48,42,25,48,48
36427,251,BREWTON,ESCAMBIA,"Alabama, AL",US,,,,,,,,
35740,256,BRIDGEPORT,JACKSON,"Alabama, AL",US,43,62,41,39,37,23,49,51
35035,205,BRIERFIELD,BIBB,"Alabama, AL",US,39,43,31,34,57,17,34,53
35548,205,BRILLIANT,MARION,"Alabama, AL",US,46,78,31,42,60,21,57,30
36429,334,BROOKLYN,CONECUH,"Alabama, AL",US,41,64,19,41,50,7,70,27
35036,205,BROOKSIDE,JEFFERSON,"Alabama, AL",US,46,53,29,26,57,51,62,45
35444,205,BROOKWOOD,TUSCALOOSA,"Alabama, AL",US,46,51,29,29,77,32,61,46
35741,256,BROWNSBORO,MADISON,"Alabama, AL",US,53,52,42,46,67,51,64,48
36010,334,BRUNDIDGE,PIKE,"Alabama, AL",US,47,72,32,32,60,36,59,38
35958,256,BRYANT,JACKSON,"Alabama, AL",US,43,63,33,35,42,28,52,47
36512,334,BUCKS,MOBILE,"Alabama, AL",US,50,63,38,55,50,32,65,44
35446,205,BUHL,TUSCALOOSA,"Alabama, AL",US,48,55,37,35,71,32,60,43
35038,205,BURNWELL,WALKER,"Alabama, AL",US,45,50,26,24,70,41,55,46
36253,256,BYNUM,CALHOUN,"Alabama, AL",US,45,63,34,27,44,34,61,53
35040,205,CALERA,SHELBY,"Alabama, AL",US,47,29,40,36,54,49,54,65
36513,334,CALVERT,WASHINGTON,"Alabama, AL",US,50,63,38,55,50,32,65,44
36726,334,CAMDEN,WILCOX,"Alabama, AL",US,39,60,41,40,43,20,53,19
36727,334,CAMPBELL,CLARKE,"Alabama, AL",US,46,73,19,62,43,23,72,29
35742,256,CAPSHAW,LIMESTONE,"Alabama, AL",US,48,52,38,38,59,36,57,57
35549,205,CARBON HILL,WALKER,"Alabama, AL",US,48,52,34,44,81,25,51,53
35041,205,CARDIFF,JEFFERSON,"Alabama, AL",US,45,50,26,24,54,51,64,43
36515,334,CARLTON,CLARKE,"Alabama, AL",US,43,65,30,40,40,21,74,34
35447,205,CARROLLTON,PICKENS,"Alabama, AL",US,38,71,32,40,30,15,51,29
36432,251,CASTLEBERRY,CONECUH,"Alabama, AL",US,40,66,22,20,60,13,70,29
36728,334,CATHERINE,WILCOX,"Alabama, AL",US,36,56,28,34,42,16,53,22
36013,334,CECIL,MONTGOMERY,"Alabama, AL",US,55,67,41,43,69,38,68,56
35959,256,CEDAR BLUFF,CHEROKEE,"Alabama, AL",US,42,62,35,37,60,26,50,22
35960,256,CENTRE,CHEROKEE,"Alabama, AL",US,55,54,50,52,66,57,54,55
35042,205,CENTREVILLE,BIBB,"Alabama, AL",US,40,51,35,36,59,16,34,48
36316,334,CHANCELLOR,GENEVA,"Alabama, AL",US,43,59,34,40,60,18,43,46
36015,334,CHAPMAN,BUTLER,"Alabama, AL",US,40,68,30,37,26,17,66,39
36518,251,CHATOM,WASHINGTON,"Alabama, AL",US,42,53,33,58,39,20,59,33
35043,205,CHELSEA,SHELBY,"Alabama, AL",US,49,22,42,37,63,55,56,67
35616,256,CHEROKEE,COLBERT,"Alabama, AL",US,51,60,44,31,77,31,62,54
35044,256,CHILDERSBURG,TALLADEGA,"Alabama, AL",US,48,66,34,32,71,31,59,45
36254,256,CHOCCOLOCCO,CALHOUN,"Alabama, AL",US,46,58,35,36,56,33,60,45
36521,251,CHUNCHULA,MOBILE,"Alabama, AL",US,50,63,38,55,50,32,65,44
36522,251,CITRONELLE,MOBILE,"Alabama, AL",US,48,71,28,51,55,32,60,42
35045,205,CLANTON,CHILTON,"Alabama, AL",US,42,39,38,38,56,22,42,58
35046,205,CLANTON,CHILTON,"Alabama, AL",US,,,,,,,,
35048,205,CLAY,JEFFERSON,"Alabama, AL",US,47,45,34,32,61,51,60,44
36016,334,CLAYTON,BARBOUR,"Alabama, AL",US,41,68,27,60,29,14,52,33
35049,205,CLEVELAND,BLOUNT,"Alabama, AL",US,45,42,38,29,60,33,42,72
35448,205,CLINTON,GREENE,"Alabama, AL",US,33,82,25,26,21,5,57,17
36017,334,CLIO,BARBOUR,"Alabama, AL",US,38,72,26,42,29,14,52,29
36317,334,CLOPTON,HENRY,"Alabama, AL",US,47,60,36,41,60,25,59,46
35617,256,CLOVERDALE,LAUDERDALE,"Alabama, AL",US,46,72,36,39,38,32,60,49
35449,205,COALING,TUSCALOOSA,"Alabama, AL",US,45,53,31,19,69,32,64,44
36523,251,CODEN,MOBILE,"Alabama, AL",US,50,63,38,55,50,32,65,44
36318,334,COFFEE SPRINGS,GENEVA,"Alabama, AL",US,39,54,25,38,60,18,43,35
36524,251,COFFEEVILLE,CLARKE,"Alabama, AL",US,41,70,23,34,43,23,72,24
35452,205,COKER,TUSCALOOSA,"Alabama, AL",US,44,57,28,19,62,32,57,54
35961,256,COLLINSVILLE,DE KALB,"Alabama, AL",US,47,64,34,35,65,24,56,50
36319,334,COLUMBIA,HOUSTON,"Alabama, AL",US,52,69,42,43,77,24,66,44
35051,205,COLUMBIANA,SHELBY,"Alabama, AL",US,50,38,37,36,69,50,54,68
35052,205,COOK SPRINGS,SAINT CLAIR,"Alabama, AL",US,41,38,35,33,39,40,44,60
36020,334,COOSADA,ELMORE,"Alabama, AL",US,46,55,43,30,61,33,55,43
35550,205,CORDOVA,WALKER,"Alabama, AL",US,45,48,32,28,78,25,51,51
35453,205,COTTONDALE,TUSCALOOSA,"Alabama, AL",US,51,64,40,36,78,32,64,43
36320,334,COTTONWOOD,HOUSTON,"Alabama, AL",US,49,60,26,41,76,24,66,48
35618,256,COURTLAND,LAWRENCE,"Alabama, AL",US,44,64,34,26,71,17,48,47
36321,334,COWARTS,HOUSTON,"Alabama, AL",US,49,55,29,40,77,24,66,52
36435,334,COY,WILCOX,"Alabama, AL",US,36,56,28,34,42,16,53,22
36255,256,CRAGFORD,CLAY,"Alabama, AL",US,45,70,33,41,58,18,48,47
35053,256,CRANE HILL,CULLMAN,"Alabama, AL",US,44,52,34,39,56,27,55,46
36525,251,CREOLA,MOBILE,"Alabama, AL",US,43,65,26,39,26,32,63,51
35054,205,CROPWELL,SAINT CLAIR,"Alabama, AL",US,42,31,38,43,47,40,43,55
35962,256,CROSSVILLE,DE KALB,"Alabama, AL",US,49,58,38,47,65,28,58,47
35055,256,CULLMAN,CULLMAN,"Alabama, AL",US,,,,,,,,
35056,256,CULLMAN,CULLMAN,"Alabama, AL",US,,,,,,,,
35057,256,CULLMAN,CULLMAN,"Alabama, AL",US,,,,,,,,
35058,256,CULLMAN,CULLMAN,"Alabama, AL",US,49,57,47,50,54,27,56,50
36322,334,DALEVILLE,DALE,"Alabama, AL",US,50,64,42,45,61,23,58,54
35619,256,DANVILLE,MORGAN,"Alabama, AL",US,46,58,26,26,75,32,59,44
36526,251,DAPHNE,BALDWIN,"Alabama, AL",US,52,49,44,53,57,49,65,44
36528,251,DAUPHIN ISLAND,MOBILE,"Alabama, AL",US,48,58,33,59,56,32,60,38
36256,256,DAVISTON,TALLAPOOSA,"Alabama, AL",US,41,62,19,28,44,37,61,36
35963,256,DAWSON,DE KALB,"Alabama, AL",US,47,58,38,41,64,26,57,48
36257,256,DE ARMANVILLE,CALHOUN,"Alabama, AL",US,47,56,37,42,57,35,59,46
36022,334,DEATSVILLE,ELMORE,"Alabama, AL",US,43,49,37,37,61,31,55,31
35601,256,DECATUR,MORGAN,"Alabama, AL",US,,,,,,,,
35602,256,DECATUR,MORGAN,"Alabama, AL",US,,,,,,,,
35603,256,DECATUR,MORGAN,"Alabama, AL",US,,,,,,,,
35609,256,DECATUR,MORGAN,"Alabama, AL",US,,,,,,,,
35699,256,DECATUR,MORGAN,"Alabama, AL",US,50,59,45,44,68,35,59,41
36529,251,DEER PARK,WASHINGTON,"Alabama, AL",US,39,51,25,40,38,20,59,38
35551,205,DELMAR,WINSTON,"Alabama, AL",US,45,65,30,40,60,20,56,46
36258,256,DELTA,CLAY,"Alabama, AL",US,45,70,33,41,58,18,48,47
36732,334,DEMOPOLIS,MARENGO,"Alabama, AL",US,,,,,,,,
36732,334,DEMOPOLIS,MARENGO,"Alabama, AL",US,48,63,44,48,46,17,76,43
35552,205,DETROIT,LAMAR,"Alabama, AL",US,47,77,30,31,60,18,71,39
36436,334,DICKINSON,CLARKE,"Alabama, AL",US,43,65,30,40,40,21,74,34
36736,334,DIXONS MILLS,MARENGO,"Alabama, AL",US,,,,,,,,
36736,334,DIXONS MILLS,MARENGO,"Alabama, AL",US,46,65,30,40,55,17,76,41
35060,205,DOCENA,JEFFERSON,"Alabama, AL",US,49,52,43,41,52,48,61,44
35061,205,DOLOMITE,JEFFERSON,"Alabama, AL",US,45,54,35,34,31,46,63,50
35062,205,DORA,JEFFERSON,"Alabama, AL",US,45,41,35,34,72,33,51,49
36301,334,DOTHAN,HOUSTON,"Alabama, AL",US,,,,,,,,
36302,334,DOTHAN,HOUSTON,"Alabama, AL",US,,,,,,,,
36303,334,DOTHAN,HOUSTON,"Alabama, AL",US,,,,,,,,
36304,334,DOTHAN,HOUSTON,"Alabama, AL",US,,,,,,,,
36305,334,DOTHAN,HOUSTON,"Alabama, AL",US,49,57,40,47,68,24,68,41
35553,205,DOUBLE SPRINGS,WINSTON,"Alabama, AL",US,44,61,34,33,60,15,56,49
35964,256,DOUGLAS,MARSHALL,"Alabama, AL",US,47,61,33,41,60,26,55,50
36028,334,DOZIER,CRENSHAW,"Alabama, AL",US,45,73,26,43,60,17,49,46
35456,205,DUNCANVILLE,TUSCALOOSA,"Alabama, AL",US,48,55,37,35,71,32,60,43
35744,256,DUTTON,JACKSON,"Alabama, AL",US,43,61,29,39,45,27,48,51
36023,334,EAST TALLASSEE,TALLAPOOSA,"Alabama, AL",US,46,63,43,45,52,23,58,36
36260,256,EASTABOGA,CALHOUN,"Alabama, AL",US,46,58,35,36,56,33,60,45
35457,205,ECHOLA,TUSCALOOSA,"Alabama, AL",US,48,55,37,35,71,32,60,43
36024,334,ECLECTIC,ELMORE,"Alabama, AL",US,45,63,34,34,61,33,55,39
36261,256,EDWARDSVILLE,CLEBURNE,"Alabama, AL",US,39,58,30,34,41,24,44,40
36613,251,EIGHT MILE,MOBILE,"Alabama, AL",US,50,63,38,56,56,32,68,41
36323,334,ELBA,COFFEE,"Alabama, AL",US,51,64,32,48,61,33,68,50
36530,251,ELBERTA,BALDWIN,"Alabama, AL",US,49,57,31,38,66,47,63,40
35554,205,ELDRIDGE,WALKER,"Alabama, AL",US,45,49,28,28,80,25,51,52
35620,256,ELKMONT,LIMESTONE,"Alabama, AL",US,48,52,30,36,60,36,57,62
36025,334,ELMORE,ELMORE,"Alabama, AL",US,46,60,36,42,61,33,55,36
35458,205,ELROD,TUSCALOOSA,"Alabama, AL",US,48,55,37,35,71,32,60,43
35459,205,EMELLE,SUMTER,"Alabama, AL",US,43,64,22,29,56,18,73,36
35063,205,EMPIRE,WALKER,"Alabama, AL",US,45,43,32,34,76,26,51,53
36330,334,ENTERPRISE,COFFEE,"Alabama, AL",US,,,,,,,,
36331,334,ENTERPRISE,COFFEE,"Alabama, AL",US,52,58,40,49,61,37,68,50
35460,205,EPES,SUMTER,"Alabama, AL",US,45,78,28,33,56,17,73,30
36026,256,EQUALITY,COOSA,"Alabama, AL",US,40,53,35,34,60,15,48,36
35745,256,ESTILLFORK,JACKSON,"Alabama, AL",US,43,63,33,35,42,28,52,47
35461,205,ETHELSVILLE,PICKENS,"Alabama, AL",US,37,67,29,37,30,25,51,22
36027,334,EUFAULA,BARBOUR,"Alabama, AL",US,,,,,,,,
36072,334,EUFAULA,BARBOUR,"Alabama, AL",US,40,66,41,49,18,15,52,39
35462,205,EUTAW,GREENE,"Alabama, AL",US,35,87,33,21,25,6,57,15
35621,256,EVA,MORGAN,"Alabama, AL",US,47,53,29,33,75,36,59,45
36401,251,EVERGREEN,CONECUH,"Alabama, AL",US,45,67,39,35,60,7,76,28
36439,251,EXCEL,MONROE,"Alabama, AL",US,42,51,27,40,60,26,53,37
35746,256,FACKLER,JACKSON,"Alabama, AL",US,43,63,33,35,42,28,52,47
35064,205,FAIRFIELD,JEFFERSON,"Alabama, AL",US,49,55,49,47,50,46,62,32
36532,251,FAIRHOPE,BALDWIN,"Alabama, AL",US,,,,,,,,
36533,251,FAIRHOPE,BALDWIN,"Alabama, AL",US,54,53,47,58,64,54,63,36
35622,256,FALKVILLE,MORGAN,"Alabama, AL",US,46,60,44,25,66,33,59,33
36738,334,FAUNSDALE,MARENGO,"Alabama, AL",US,,,,,,,,
36738,334,FAUNSDALE,MARENGO,"Alabama, AL",US,43,70,22,27,60,17,76,27
35555,205,FAYETTE,FAYETTE,"Alabama, AL",US,47,63,44,53,59,22,48,41
36029,334,FITZPATRICK,BULLOCK,"Alabama, AL",US,38,68,31,37,35,16,50,30
35966,256,FLAT ROCK,JACKSON,"Alabama, AL",US,45,50,35,25,80,15,48,59
36441,251,FLOMATON,ESCAMBIA,"Alabama, AL",US,40,61,30,32,51,16,48,45
36442,334,FLORALA,COVINGTON,"Alabama, AL",US,50,63,45,48,61,15,64,53
35630,256,FLORENCE,LAUDERDALE,"Alabama, AL",US,,,,,,,,
35631,256,FLORENCE,LAUDERDALE,"Alabama, AL",US,,,,,,,,
35632,256,FLORENCE,LAUDERDALE,"Alabama, AL",US,,,,,,,,
35633,256,FLORENCE,LAUDERDALE,"Alabama, AL",US,,,,,,,,
35634,256,FLORENCE,LAUDERDALE,"Alabama, AL",US,50,63,46,51,58,32,61,37
36535,251,FOLEY,BALDWIN,"Alabama, AL",US,,,,,,,,
36536,251,FOLEY,BALDWIN,"Alabama, AL",US,49,62,38,42,53,47,63,36
36030,334,FOREST HOME,BUTLER,"Alabama, AL",US,40,68,30,37,26,17,66,39
36740,334,FORKLAND,GREENE,"Alabama, AL",US,,,,,,,,
36740,334,FORKLAND,GREENE,"Alabama, AL",US,34,84,18,34,21,4,57,22
36031,334,FORT DAVIS,MACON,"Alabama, AL",US,45,70,29,41,59,27,58,31
36032,334,FORT DEPOSIT,LOWNDES,"Alabama, AL",US,38,67,34,25,58,17,55,11
35967,256,FORT PAYNE,DE KALB,"Alabama, AL",US,,,,,,,,
35968,256,FORT PAYNE,DE KALB,"Alabama, AL",US,50,59,47,46,64,25,58,53
36362,334,FORT RUCKER,DALE,"Alabama, AL",US,44,54,36,50,56,23,58,33
35463,205,FOSTERS,TUSCALOOSA,"Alabama, AL",US,48,55,37,35,71,32,60,43
36444,251,FRANKLIN,MONROE,"Alabama, AL",US,41,62,22,34,49,28,58,32
36538,251,FRANKVILLE,WASHINGTON,"Alabama, AL",US,39,51,25,40,38,20,59,38
